Name,Price,Seller,Image
Laptop HP VICTUS 16-d1187TX (7C0S4PA) (i7-12700H | 8GB | 512GB | GeForce RTX 3050Ti 4GB | 16.1' FHD 144Hz | Win 11) Hàng chính hãng,31490000,HP Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/85/93/7a/5d70c9c4e7560682dee3a93a1ebe4a64.jpg
Laptop Dell Inspiron 15 3520 71001747 (Core i7-1255U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Đen) - Hàng chính hãng,19890000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/65/4c/d0/2af3bd358bb7a91f7cb8a6b74f68786d.png
Laptop MSI Modern 14 B11MOU-1033VN ( i7-1195G7 Gen 11th | 8GB DDR4 | SSD 512GB PCIe | VGA Onboard | 14.1 FHD IPS | Win11| Gray) - Hàng Chính Hãng,15490000,NGUYENVUSTORE,https://salt.tikicdn.com/cache/280x280/ts/product/cd/9a/98/11cb8a79d1e578932dba02b1272522db.png
Laptop HP Victus 16-d1191TX 7C0S5PA i5-12500H | 16GB | 512GB |RTX 3050Ti 4GB |144Hz Hàng chính hãng,29890000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/7f/ca/17/c6f4e4d45a1e745ac6758e9b59a4c66e.jpg
Laptop MSI Katana 15 B13VEK-252VN (i7-13620H | 8GB | 512GB | RTX 4050 6GB | 15.6' FHD 144Hz | Win 11) Hàng chính hãng,33990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/b1/ac/14/030644cddd4480c59e0a7dd4e3f4fd15.jpg
Laptop Lenovo Legion 5 15ARH7 82RE002WVN |R5-6600H|16GB|512 SSD|RTX 3050 Ti|Win11 - Hàng chính hãng,35090000,Lenovo Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6c/43/4bfd8e2e494a9d6568c23ac057ec6110.png
Laptop HP Pavilion 15-eg2086TU 7C0Q8PA (i3-1215U | 8GB | 256GB | Intel UHD Graphics | 15.6' FHD | Win 11) Hàng chính hãng,13590000,HP Flagship Ben Computer Store,https://salt.tikicdn.com/cache/280x280/ts/product/00/21/af/c19b8fbbee25558daaddb2eaadc1fa89.jpg
Laptop Acer Gaming Nitro 5 AN515-58-769J (NH.QFHSV.003) (i7 12700H/8GB Ram/512GB SSD/RTX3050 4G/15.6 inch FHD 144Hz/Win 11/Đen) Hàng chính hãng,26990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/6d/12/95/9d2cb1f982884248a05166cdf4a00260.jpg
Laptop Gaming Acer Nitro 5 Tiger AN515-58-52SP (NH.QFHSV.001) (Core i5-12500H/8GB/512GB/RTX 3050 4GB/15.6 inch FHD/Win 11/Đen)- Hàng chính hãng,24990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/c4/44/d9/5ca9dff314271b30167365d8817b6fc8.jpg
Màn hình LG IPS 32MP60G-B 31.5'' Full HD AMD FreeSync - Hàng chính hãng,5790000,AN PHAT COMPUTER,https://salt.tikicdn.com/cache/280x280/ts/product/b0/fd/be/68e480053bf68493232c75df86b66978.jpg
