title,mileage,primary_price,dealer_name,sds_rating_count,sds_rating_link_sds_button_link,link
2019 Mercedes-Benz E-Class E 450 4MATIC,"23,314 mi.","$59,988","Viti, Inc.",4.9,739 reviews,https://www.cars.com/vehicledetail/4e84ef46-ce6e-4941-983c-7bc3410d175f/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"40,587 mi.","$30,443",Mercedes-Benz of Nanuet,4.7,262 reviews,https://www.cars.com/vehicledetail/12279b36-1f57-46f9-86ac-994b1ee8ecc1/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"19,431 mi.","$31,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/ebd14823-cf2f-4b92-9d05-6f01216f2d56/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"32,799 mi.","$31,903",Mercedes-Benz of Goldens Bridge,4.4,236 reviews,https://www.cars.com/vehicledetail/cfc607cf-1432-4a7e-857e-2091441e7d24/
2020 Mercedes-Benz CLA 250 Base,"45,958 mi.","$32,991",Mercedes-Benz Of Henderson,4.9,"1,711 reviews",https://www.cars.com/vehicledetail/87b09f33-55bd-47e7-8f4e-b74923f6cd90/
2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"9,360 mi.","$59,994",Mercedes-Benz of Houston North,4.5,"1,709 reviews",https://www.cars.com/vehicledetail/ff5cc711-d7e7-40b3-904b-3b4202fe1698/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"26,231 mi.","$71,908",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/31239148-dec1-4699-959d-5bb87a558e9e/
2021 Mercedes-Benz GLA 250 Base 4MATIC,"12,429 mi.","$38,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/fdbef684-6bab-4a88-b34a-d59b0ed5cf99/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,503 mi.","$30,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/1dce6e47-3add-499a-b2ae-b5fb47c9baf0/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,099 mi.","$30,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/e8f9024d-b692-407e-af7d-56822c2a2e36/
2017 Mercedes-Benz GLA 250 Base 4MATIC,"44,331 mi.","$23,789",Balise Hyundai of Fairfield,3.2,263 reviews,https://www.cars.com/vehicledetail/8411c433-9193-4789-84d2-bee482952b36/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"26,401 mi.","$29,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/d7a0a554-a52c-41ef-8948-a887c8c0e9e2/
2022 Mercedes-Benz E-Class E 350,"6,722 mi.","$57,555",Mercedes-Benz of Fort Lauderdale,4.5,"1,159 reviews",https://www.cars.com/vehicledetail/09a4a529-4553-4afb-b659-af06da0b1887/
2020 Mercedes-Benz A-Class A 220,"22,943 mi.","$36,884",Mercedes-Benz of Ontario,4.8,"2,011 reviews",https://www.cars.com/vehicledetail/781203d7-3a94-4600-a80f-72ed3a22e0b8/
2023 Mercedes-Benz GLB 250 Base,"2,136 mi.","$47,777",Mercedes-Benz of Miami,4.4,"1,336 reviews",https://www.cars.com/vehicledetail/18b784ef-a000-4547-9315-8f409f9971dd/
2020 Mercedes-Benz E-Class E 350,"51,217 mi.","$39,500",Mercedes-Benz of Fayetteville,4.8,"1,240 reviews",https://www.cars.com/vehicledetail/072df93b-6fd9-4729-bdb7-586e1bc4c23c/
2021 Mercedes-Benz E-Class E 350 4MATIC,"14,281 mi.","$52,236",Mercedes-Benz of Santa Rosa,sds-rating--not-rated,29 reviews,https://www.cars.com/vehicledetail/19c2334e-0266-43c1-a3ce-294c5d7d1eda/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"29,985 mi.","$29,995",Mercedes-Benz of Wilsonville,4.0,751 reviews,https://www.cars.com/vehicledetail/fa1e08ed-2c04-47b9-886b-ba2cdab7fc20/
2021 Mercedes-Benz CLA 250 Base,"24,658 mi.","$42,707",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/3f101df4-8ed9-4d14-b676-e4a206161689/
2020 Mercedes-Benz C-Class C 300,"31,905 mi.","$35,987",Mercedes-Benz of San Francisco / Smart Center San Francisco,sds-rating--not-rated,62 reviews,https://www.cars.com/vehicledetail/d47ed036-6d81-4a9c-8009-948ddc844a99/
2020 Mercedes-Benz E-Class E 350 4MATIC,"43,816 mi.","$41,990",Mercedes-Benz of Lancaster,4.8,169 reviews,https://www.cars.com/vehicledetail/c90742a2-1616-4b0e-a9e2-eddc979a1ffd/
2021 Mercedes-Benz GLC 300 4MATIC,"10,171 mi.","$40,990",Bobby Rahal Motorcar Company,4.7,106 reviews,https://www.cars.com/vehicledetail/a3d9f356-9fee-45c5-af75-378a8c05caf2/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"32,635 mi.","$67,912",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/6b7ebc4d-28fb-4615-9357-e608b4a2c5a3/
2020 Mercedes-Benz A-Class A 220,"35,213 mi.","$32,995",Antwerpen Hyundai of Baltimore,4.5,"3,483 reviews",https://www.cars.com/vehicledetail/72c539a5-7dc0-4579-8c99-be2206a4ab4b/
2021 Mercedes-Benz AMG GLE 53 ,"22,427 mi.","$86,977",Mercedes-Benz of Spokane,3.1,123 reviews,https://www.cars.com/vehicledetail/81b42a8d-16e8-4e69-8e14-b40c54934651/
2016 Mercedes-Benz C-Class C 300,"36,552 mi.","$21,900",Hyundai of Cool Springs,4.8,"1,640 reviews",https://www.cars.com/vehicledetail/659a0e80-16bd-46e2-a034-9a187c759238/
2020 Mercedes-Benz AMG GT 53 Base,"9,159 mi.","$86,500",Mercedes-Benz of Tri-Cities,sds-rating--not-rated,0 reviews,https://www.cars.com/vehicledetail/9c9f4545-8dbf-4fe2-8d9b-e776b4a03ec4/
2021 Mercedes-Benz GLE 350 Base 4MATIC,"33,346 mi.","$56,984",Mercedes-Benz of Ontario,4.8,"2,011 reviews",https://www.cars.com/vehicledetail/aff9842c-d974-46f8-9782-d2d19237b2ea/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"24,733 mi.","$32,466",Mercedes-Benz of Akron,4.7,70 reviews,https://www.cars.com/vehicledetail/5ce349b3-c512-4bdc-8646-ddcbc0fc1deb/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"18,696 mi.","$36,477",Aristocrat Motors,4.7,"1,367 reviews",https://www.cars.com/vehicledetail/51c7afdc-0865-449f-b6bb-07abada4e51f/
2020 Mercedes-Benz C-Class C 300 4MATIC,"32,386 mi.","$34,880",Bobby Rahal Motorcar Company,4.7,106 reviews,https://www.cars.com/vehicledetail/6a1b14db-2d4c-4231-863f-1100f7bd2a7b/
2022 Mercedes-Benz AMG SL 55 Base,"1,269 mi.","$138,498",Mercedes-Benz of North Olmsted,4.7,"1,529 reviews",https://www.cars.com/vehicledetail/5e3507ef-042f-4ae9-ae88-9f32c08e6646/
2019 Mercedes-Benz A-Class A 220,"30,176 mi.","$27,999",Mercedes-Benz of Stockton,4.2,127 reviews,https://www.cars.com/vehicledetail/3d65e88b-a29d-4f29-89bb-5c5a008764dd/
2023 Mercedes-Benz C-Class C 300 4MATIC,"3,617 mi.","$57,995",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/14880f7c-1c49-4cc2-8265-e85bbba64549/
2021 Mercedes-Benz GLC 300 Base 4MATIC,"22,744 mi.","$45,000",Mercedes-Benz of Covington,4.7,733 reviews,https://www.cars.com/vehicledetail/10455dfd-976f-4ca3-ac8a-f27a12cec894/
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"44,956 mi.","$43,900",Isringhausen Imports,4.9,953 reviews,https://www.cars.com/vehicledetail/75a287b9-632f-49ad-b5a5-264a20b969cb/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"31,342 mi.","$30,105",Lynnes Hyundai,4.3,745 reviews,https://www.cars.com/vehicledetail/64a25eed-86e8-421e-9df2-e5431bb9e25e/
2022 Mercedes-Benz AMG SL 63 Base,"1,088 mi.","$183,993",Mercedes-Benz of South Charlotte,4.8,"1,315 reviews",https://www.cars.com/vehicledetail/b37f7c7c-4b38-4f71-a4b3-4e4f783c8145/
2022 Mercedes-Benz GLB 250 Base,"8,917 mi.","$46,110",Mercedes-Benz of Austin,4.8,"1,327 reviews",https://www.cars.com/vehicledetail/e7405080-b929-45bc-8aaf-2f8f2b8cd769/
2022 Mercedes-Benz GLC 300 Base 4MATIC,"1,540 mi.","$44,976",Mercedes-Benz of Portland,4.4,"1,843 reviews",https://www.cars.com/vehicledetail/e0066ad0-f561-4d38-a401-53ce34be9eff/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"19,101 mi.","$41,998",Mercedes-Benz of Natick,4.9,"2,447 reviews",https://www.cars.com/vehicledetail/878d5885-186d-4cbf-b524-b2687840e4b1/
2023 Mercedes-Benz GLB 250 Base 4MATIC,"2,704 mi.","$47,777",Mercedes-Benz of Miami,4.4,"1,336 reviews",https://www.cars.com/vehicledetail/5b2bb24b-52a8-4065-a133-911fad4df55b/
2022 Mercedes-Benz GLS 450 4MATIC,"8,319 mi.","$96,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/40b3b150-417b-4c66-a757-f45693f911d1/
2021 Mercedes-Benz AMG E 63 S 4MATIC,"16,766 mi.","$120,000",Mercedes-Benz of Fredericksburg,4.7,427 reviews,https://www.cars.com/vehicledetail/dd60864e-d8ad-420b-a5a3-67442cc03071/
2017 Mercedes-Benz E-Class E 300 4MATIC,"23,113 mi.","$31,500",Classic Hyundai,4.8,238 reviews,https://www.cars.com/vehicledetail/682f36d6-5569-4302-bd03-d178ef53e770/
2020 Mercedes-Benz E-Class E 350,"17,840 mi.","$40,997",Mercedes-Benz of Calabasas,4.8,956 reviews,https://www.cars.com/vehicledetail/cce6a686-7f17-4930-b4a3-e13385d429a4/
2023 Mercedes-Benz S-Class S 500 4MATIC,"4,505 mi.","$122,100",Bergstrom Luxury on Victory Lane,4.1,291 reviews,https://www.cars.com/vehicledetail/d5473069-f12f-48f1-bc63-e978185159f2/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"38,035 mi.","$29,693",Sullivan-Parkhill,4.5,430 reviews,https://www.cars.com/vehicledetail/d4cbb6c6-6ea4-4c37-9c40-2c40d62b302f/
2020 Mercedes-Benz C-Class C 300 4MATIC,"15,036 mi.","$51,490",Mercedes-Benz of Union,4.7,915 reviews,https://www.cars.com/vehicledetail/d373ca0d-36f5-46c5-b8a3-de23596fd8fc/
2021 Mercedes-Benz AMG GT 53 Base,"21,517 mi.","$91,992",Mercedes-Benz of Tyler,4.8,256 reviews,https://www.cars.com/vehicledetail/9881519d-6930-4ec4-9c8b-962bcf23e379/
2021 Mercedes-Benz GLE 350 Base 4MATIC,"17,928 mi.","$60,798",Mercedes-Benz of Wichita,sds-rating--not-rated,109 reviews,https://www.cars.com/vehicledetail/147c7473-2ef4-4ecc-a541-e9b8b9c74896/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"4,268 mi.","$49,988",Mercedes-Benz of Mt. Pleasant,4.7,64 reviews,https://www.cars.com/vehicledetail/3b7610d3-41df-49b3-b17c-9f42d722da14/
2021 Mercedes-Benz C-Class C 300,"23,576 mi.","$41,000",Mercedes-Benz of Knoxville,4.8,336 reviews,https://www.cars.com/vehicledetail/0d54ed4a-f6ac-4f78-ab7a-81f1bc7456df/
2017 Mercedes-Benz AMG C 43 Base 4MATIC,"12,461 mi.","$44,991",Mercedes-Benz of Bonita Springs,5.0,"2,168 reviews",https://www.cars.com/vehicledetail/1258b571-5527-45a9-943e-6e16cfc54f41/
2022 Mercedes-Benz AMG GT 53 Base,"6,739 mi.","$107,900",Mercedes-Benz Of Winston-Salem,sds-rating--not-rated,23 reviews,https://www.cars.com/vehicledetail/49ca7e97-79e9-4341-a9ec-e873a1ae3668/
2022 Mercedes-Benz GLC 300 Base 4MATIC,"9,009 mi.","$41,988",Mercedes-Benz of Stevens Creek,4.6,"2,149 reviews",https://www.cars.com/vehicledetail/1b6b0be8-2e91-48ff-8a84-c1c1459d5a84/
2021 Mercedes-Benz GLC 300 Base,"47,593 mi.","$36,498",W.I. Simonson Inc.,4.7,877 reviews,https://www.cars.com/vehicledetail/6e16cf02-398a-4315-b449-17a2825efe6e/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"13,149 mi.","$47,210",Mercedes-Benz of Hanover,4.0,399 reviews,https://www.cars.com/vehicledetail/50241720-e032-4afe-ade1-5cee863298e3/
2021 Mercedes-Benz AMG GLE 53 Base,"30,680 mi.","$75,887",Mercedes-Benz of Portland,4.4,"1,843 reviews",https://www.cars.com/vehicledetail/fde9edb4-6554-4edf-9430-70674bba56a3/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"31,642 mi.","$51,994",Mercedes-Benz of North Haven,4.8,"1,248 reviews",https://www.cars.com/vehicledetail/dae9dd84-a1e4-4da5-93d4-bebbcd47c1e6/
2021 Mercedes-Benz GLC 300 Base 4MATIC,"11,728 mi.","$43,921",Carousel Audi Mercedes-Benz Volkswagen,4.8,394 reviews,https://www.cars.com/vehicledetail/5377f573-1082-44ef-a54e-9a79ba3b6709/
2019 Mercedes-Benz GLC 300 Base,"49,063 mi.","$29,886",Mercedes-Benz of Walnut Creek,4.5,"1,009 reviews",https://www.cars.com/vehicledetail/6e7df02f-5601-4835-b0d2-c9ecbf45b6b6/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"23,296 mi.","$50,477",Bloomington Normal Auto-Mall,3.5,155 reviews,https://www.cars.com/vehicledetail/32eafc94-2d00-4d49-9b19-4ec9eb16b2b6/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"30,544 mi.","$51,777",Bloomington Normal Auto-Mall,3.5,155 reviews,https://www.cars.com/vehicledetail/90d2a0fc-883b-476d-9ac5-995b195067b1/
2022 Mercedes-Benz GLB 250 Base,"8,077 mi.","$42,989",Mercedes-Benz of Naples,4.7,"1,513 reviews",https://www.cars.com/vehicledetail/fd753183-e8c5-4f1b-abc2-e896c45c854d/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"4,969 mi.","$43,777",Mercedes-Benz of Westmont,4.6,"1,066 reviews",https://www.cars.com/vehicledetail/297e1970-1b9d-4375-99f3-35f8c1fbebba/
2021 Mercedes-Benz GLS 580 ,"7,775 mi.","$90,990",Mercedes-Benz of El Cajon,4.7,203 reviews,https://www.cars.com/vehicledetail/b48ddf25-5ea9-41a8-b87c-bb64dcc1b13d/
2021 Mercedes-Benz AMG GLE 53 4MATIC,"23,006 mi.","$72,773",Mercedes-Benz of Selma,sds-rating--not-rated,4 reviews,https://www.cars.com/vehicledetail/195b87c6-19d6-4422-981e-9dbd32e8f7d4/
2017 Mercedes-Benz E-Class E 300 4MATIC,"68,768 mi.","$27,670","Viti, Inc.",4.9,739 reviews,https://www.cars.com/vehicledetail/fa3c5609-6071-400d-82ff-7f6e3944be98/
2022 Mercedes-Benz GLE 450 ,"11,111 mi.","$84,592",Mercedes Benz of Virginia Beach,sds-rating--not-rated,2 reviews,https://www.cars.com/vehicledetail/9a696ef7-4a13-4765-a98e-8b4aed013eff/
2018 Mercedes-Benz E-Class E 300,"50,348 mi.","$35,994",Mercedes-Benz Of Henderson,4.9,"1,711 reviews",https://www.cars.com/vehicledetail/648c4103-0f89-46e9-aa3f-1fa0b15ca339/
2022 Mercedes-Benz A-Class A 220 4MATIC,"5,355 mi.","$38,776",Morrie's Mercedes Benz of St. Paul,4.8,271 reviews,https://www.cars.com/vehicledetail/091bd284-78fe-45a8-9557-e72ba7fd5622/
2021 Mercedes-Benz GLB 250 Base,"39,589 mi.","$39,998",Mercedes-Benz of Birmingham,4.9,858 reviews,https://www.cars.com/vehicledetail/774448ed-e040-49be-810f-30bc9d4c60ff/
2022 Mercedes-Benz EQS 450+ Base,"7,000 mi.","$78,933",House of Imports,4.7,"1,697 reviews",https://www.cars.com/vehicledetail/8eefd8e4-fcc9-4df7-b222-3e2aa6a914d1/
2023 Mercedes-Benz C-Class C 300 4MATIC,"3,474 mi.","$52,365",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/6d509362-2d85-473e-96e3-367bb07e8f64/
2021 Mercedes-Benz AMG GT AMG GT 43,"20,397 mi.","$88,890",Mercedes-Benz Of Bloomfield Hills,3.8,108 reviews,https://www.cars.com/vehicledetail/df50e990-e36b-4f57-8775-9b683ba948db/
2020 Mercedes-Benz SLC 300 Base,"5,562 mi.","$49,995",Mercedes-Benz of El Paso,sds-rating--not-rated,0 reviews,https://www.cars.com/vehicledetail/ecc98dfd-2890-4e44-b13a-313bf886636f/
2022 Mercedes-Benz G-Class G 550 4MATIC,"6,358 mi.","$186,998",Mercedes-Benz of Valencia,4.3,"1,123 reviews",https://www.cars.com/vehicledetail/4ce4d612-b764-4abf-8672-06110cdf8d88/
2022 Mercedes-Benz GLB 250 Base,"17,345 mi.","$44,422",Mercedes-Benz of Atlanta Northeast,4.7,"2,015 reviews",https://www.cars.com/vehicledetail/1edebacd-fe2d-4b89-976d-2119387d4c64/
2020 Mercedes-Benz C-Class C 300,"28,019 mi.","$32,770",Mercedes-Benz of Clearwater,4.7,454 reviews,https://www.cars.com/vehicledetail/ef4c3eaa-4df7-400f-b528-11c3339b4fe8/
2019 Mercedes-Benz GLE 400 Base 4MATIC,"51,124 mi.","$36,637",Maple Hill Auto Group,4.6,"4,654 reviews",https://www.cars.com/vehicledetail/5f33036a-440f-49de-8fef-87b6e8b71af4/
2020 Mercedes-Benz GLC 300 Base 4MATIC,"35,220 mi.","$38,000",Mercedes-Benz of Omaha,4.3,415 reviews,https://www.cars.com/vehicledetail/75004f51-e00e-4d6a-b90e-8175d882884f/
2021 Mercedes-Benz GLC 300 Base 4MATIC,"13,094 mi.","$44,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/4a544e0a-e628-4a7d-8165-538466abcf23/
2022 Mercedes-Benz GLC 300 Base,"21,210 mi.","$44,500",Mercedes-Benz of Covington,4.7,733 reviews,https://www.cars.com/vehicledetail/0d27a07a-0309-4e56-b741-7303110281a8/
2018 Mercedes-Benz E-Class E 300,"67,791 mi.","$28,999",Mercedes-Benz of Denver,4.4,426 reviews,https://www.cars.com/vehicledetail/049307e5-e29f-47dd-bc89-dc6238250543/
2022 Mercedes-Benz AMG GT 43 Base,"10,916 mi.","$93,281",Mercedes-Benz of Clearwater,4.7,454 reviews,https://www.cars.com/vehicledetail/b3c9fadb-4d3b-4b58-9ccb-f3a93fec163b/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"70,605 mi.","$24,888",Bergstrom Luxury on Victory Lane,4.1,291 reviews,https://www.cars.com/vehicledetail/1ac84113-8385-4715-8cc6-c045eb12b587/
2019 Mercedes-Benz GLA 250 Base,"33,724 mi.","$27,999",Mercedes-Benz of Nashville,4.5,912 reviews,https://www.cars.com/vehicledetail/4ed9689e-56d8-40b1-8438-01748016482a/
2021 Mercedes-Benz GLC 300 Base 4MATIC,"48,463 mi.","$38,999",Mercedes-Benz of Austin,4.8,"1,327 reviews",https://www.cars.com/vehicledetail/124991a0-39a1-479c-a26f-7dd1b711319f/
2020 Mercedes-Benz E-Class E 450 4MATIC,"50,697 mi.","$43,495",Mercedes-Benz of Warwick,4.8,263 reviews,https://www.cars.com/vehicledetail/ae41a13b-e9b4-46ae-83d3-6127cc08690b/
2022 Mercedes-Benz GLC 300 Base,"9,900 mi.","$48,000",Mercedes-Benz of Covington,4.7,733 reviews,https://www.cars.com/vehicledetail/2aa9e5e5-0492-471e-86ef-6cb36e0413e4/
2020 Mercedes-Benz GLC 300 Base,"24,720 mi.","$40,000",Mercedes-Benz of Hilton Head,4.6,308 reviews,https://www.cars.com/vehicledetail/97133f9d-c9e6-4b6d-a641-806ee68ba59c/
2021 Mercedes-Benz GLE 350 Base 4MATIC,"46,082 mi.","$51,043",Feldmann Imports,4.5,639 reviews,https://www.cars.com/vehicledetail/d66f52b8-efa7-4af6-a051-71172d262a5b/
2019 Mercedes-Benz E-Class E 300,"19,269 mi.","$43,990",Mercedes-Benz of Lancaster,4.8,169 reviews,https://www.cars.com/vehicledetail/7ef47af6-318c-4916-8df5-4b749490c627/
2019 Mercedes-Benz A-Class A 220 4MATIC,"33,228 mi.","$33,990",Hendrick Motors of Charlotte,5.0,506 reviews,https://www.cars.com/vehicledetail/e7c82325-e05e-41dd-bc35-633c0c1899f7/
2019 Mercedes-Benz GLC 300 Base 4MATIC,"23,505 mi.","$36,900",Mercedes-Benz of Covington,4.7,733 reviews,https://www.cars.com/vehicledetail/ebcdc894-78aa-46a6-bdda-83e5a8ecf63b/
2019 Mercedes-Benz E-Class E 300,"31,254 mi.","$38,999",Mercedes-Benz of Littleton,4.6,"1,128 reviews",https://www.cars.com/vehicledetail/952ed2f1-def3-4e2e-995d-b337f6e6d746/
2022 Mercedes-Benz C-Class C 300,"3,295 mi.","$48,991",Mercedes-Benz of Delray,4.5,"1,689 reviews",https://www.cars.com/vehicledetail/4e52bce3-05bf-490a-9319-1d4e13ab3030/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"28,941 mi.","$68,915",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/4f5e7cb3-69ba-4520-9726-e48ac2f03e3b/
2021 Mercedes-Benz AMG GLE 53 Base,"13,867 mi.","$85,890",Mercedes-Benz of Union,4.7,915 reviews,https://www.cars.com/vehicledetail/e3f8e0fe-e461-438f-9b22-d0abae5c1e53/
2020 Mercedes-Benz GLE 350 Base,"22,749 mi.","$50,999",Mercedes-Benz of Austin,4.8,"1,327 reviews",https://www.cars.com/vehicledetail/3431f7ce-5fb7-48ad-af8d-0f2ed00addc1/
2022 Mercedes-Benz CLS 450 Base 4MATIC,"6,503 mi.","$79,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/8ddeebed-bca5-423b-9d74-8b4cae33cf4b/
2023 Mercedes-Benz C-Class C 300 4MATIC,"1,408 mi.","$56,075",Autohaus on Edens,4.7,"2,364 reviews",https://www.cars.com/vehicledetail/bba57980-0112-4fab-9b00-e115f4e9ad80/
2022 Mercedes-Benz GLB 250 Base 4MATIC,"6,508 mi.","$42,199",Mercedes-Benz of Shrewsbury,4.6,200 reviews,https://www.cars.com/vehicledetail/a84cf6ba-d003-4a84-918e-2b745ab58926/
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"43,985 mi.","$56,500",Sullivan-Parkhill,4.5,430 reviews,https://www.cars.com/vehicledetail/fdb5d492-3f5d-4806-810f-930c92961418/
2021 Mercedes-Benz GLA 250 Base 4MATIC,"23,740 mi.","$38,995",Mercedes-Benz of Edison,5.0,"3,831 reviews",https://www.cars.com/vehicledetail/d0131906-5c09-421d-bd38-30d2642f7654/
2021 Mercedes-Benz AMG GLE 53 Base,"15,662 mi.","$79,590",Mercedes-Benz & Chevrolet in San Luis Obispo,sds-rating--not-rated,29 reviews,https://www.cars.com/vehicledetail/123ddcf6-1259-4252-b228-544ff35b3ec8/
2020 Mercedes-Benz GLE 350 Base 4MATIC,"38,936 mi.","$48,990",Mercedes-Benz of Lancaster,4.8,169 reviews,https://www.cars.com/vehicledetail/18c3e8bc-9d46-4573-a0d2-1f694a9fc748/
2023 Mercedes-Benz GLA 250 Base,"1,202 mi.","$50,074",Mercedes-Benz of Miami,4.4,"1,336 reviews",https://www.cars.com/vehicledetail/25315339-91ad-41f3-bbe9-69751774405c/
2023 Mercedes-Benz C-Class C 300 4MATIC,195 mi.,"$49,494",Mercedes-Benz Of Bedford,4.7,483 reviews,https://www.cars.com/vehicledetail/b01b63b4-e84a-4e48-8b9e-85c448a1a877/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"37,490 mi.","$67,699",Mercedes-Benz of Columbus,4.7,"1,172 reviews",https://www.cars.com/vehicledetail/c68df1c8-26d4-44f5-8848-63f62742f374/
2021 Mercedes-Benz E-Class E 450,"4,901 mi.","$75,900",Hyundai of Newport,4.5,562 reviews,https://www.cars.com/vehicledetail/b6d50260-7517-487f-82b6-2700da7b36ed/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"19,626 mi.","$32,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/dc85749b-3334-4605-86db-ec5c5e498fce/
2022 Mercedes-Benz GLS 450 4MATIC,"7,827 mi.","$83,104",Mercedes-Benz of South Orlando,4.5,"1,374 reviews",https://www.cars.com/vehicledetail/61ef8dbf-aabc-49f7-8a7d-ea3fe510886a/
2020 Mercedes-Benz E-Class E 450 4MATIC,"31,108 mi.","$51,877",Bloomington Normal Auto-Mall,3.5,155 reviews,https://www.cars.com/vehicledetail/04aeeef2-ff4d-4672-878b-302abdf3bdfe/
2022 Mercedes-Benz C-Class C 300,"17,148 mi.","$42,903",Fremont Hyundai,sds-rating--not-rated,4 reviews,https://www.cars.com/vehicledetail/d6c8783d-268f-42db-81df-4dfc55da1f19/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"16,042 mi.","$34,508",Mercedes-Benz of Edison,5.0,"3,831 reviews",https://www.cars.com/vehicledetail/bac14ee9-0cc4-4422-a06a-11d8ecfe3ed7/
2021 Mercedes-Benz GLC 300 Base 4MATIC,"15,645 mi.","$43,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/d83cf9a1-0c05-4c45-abed-756a58b7641d/
2017 Mercedes-Benz C-Class C 300,"41,253 mi.","$27,297",Mercedes-Benz of Farmington,3.9,272 reviews,https://www.cars.com/vehicledetail/35a91a34-bd30-43d7-9cfb-999e9612823c/
2021 Mercedes-Benz GLE 350 Base 4MATIC,"14,368 mi.","$57,824",Feldmann Imports,4.5,639 reviews,https://www.cars.com/vehicledetail/182dbbd3-7232-424a-9c43-cda654438647/
2022 Mercedes-Benz GLC 300 Base 4MATIC,"4,728 mi.","$42,777",Mercedes-Benz of Houston Greenway,4.8,"2,580 reviews",https://www.cars.com/vehicledetail/f2997a23-f10e-42a6-83e5-5725cb696afb/
2019 Mercedes-Benz C-Class C 300 4MATIC,"29,570 mi.","$34,838",Morrie's Mercedes Benz of St. Paul,4.8,271 reviews,https://www.cars.com/vehicledetail/00579f39-7035-40d8-8333-77f15f6f2b85/
2023 Mercedes-Benz C-Class C 300 4MATIC,"4,645 mi.","$50,165",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/e5aee230-afa5-4b90-9517-1cb24d9fe393/
2022 Mercedes-Benz A-Class A 220 4MATIC,"4,151 mi.","$37,777",Mercedes-Benz of Westmont,4.6,"1,066 reviews",https://www.cars.com/vehicledetail/a67d9899-8315-4a71-8389-57e41b2f4ef7/
2023 Mercedes-Benz C-Class C 300 4MATIC,"3,888 mi.","$48,735",Feldmann Imports,4.5,639 reviews,https://www.cars.com/vehicledetail/c75d3dd8-dc04-4d61-9e56-2d7910eac584/
2020 Mercedes-Benz GLB 250 Base 4MATIC,"23,804 mi.","$35,950",Vin Devers Autohaus of Sylvania,4.8,647 reviews,https://www.cars.com/vehicledetail/d9ca7c92-3080-4e41-b49c-3912b4823fe9/
2017 Mercedes-Benz E-Class E 300 Sport,"55,990 mi.","$30,555",Mercedes-Benz of Boerne,4.6,448 reviews,https://www.cars.com/vehicledetail/0b007829-bc6b-4c39-95e5-a259bf8bb6c1/
