title,mileage,primary_price,dealer_name,sds_rating_count,sds_rating_link_sds_button_link,link
2022 Mercedes-Benz E-Class E 450 4MATIC,"18,261 mi.","$71,994",Mercedes-Benz of Chicago,4.8,"1,313 reviews",https://www.cars.com/vehicledetail/331cad9d-1209-43df-bbb5-7e79daa10826/
2020 Mercedes-Benz GLB 250 Base 4MATIC,"31,408 mi.","$35,999",Mercedes-Benz of Princeton,4.9,"4,149 reviews",https://www.cars.com/vehicledetail/0fb7b51f-74b2-4848-a620-08772cb0a071/
2019 Mercedes-Benz E-Class E 450 4MATIC,"12,328 mi.","$60,993",Mercedes-Benz of Temecula,4.1,"1,397 reviews",https://www.cars.com/vehicledetail/70d0c34d-ec00-4184-ba1d-b23006aafa08/
2022 Mercedes-Benz E-Class E 450 4MATIC,"4,542 mi.","$66,741",Mercedes-Benz Of Tampa,4.1,"3,512 reviews",https://www.cars.com/vehicledetail/b4a4287d-8849-42ee-9665-24d7314e5718/
2020 Mercedes-Benz E-Class E 350 4MATIC,"33,418 mi.","$41,119",Mercedes-Benz of Fairfield,4.8,329 reviews,https://www.cars.com/vehicledetail/af8f4910-5762-4c4b-856e-0e3761470f41/
2020 Mercedes-Benz S-Class S 450 4MATIC,"13,165 mi.","$68,000",Mercedes-Benz of Fredericksburg,4.7,427 reviews,https://www.cars.com/vehicledetail/12d17a1a-7115-406d-9530-547fe0a0a5f0/
2020 Mercedes-Benz CLA 250 Base,"15,581 mi.","$35,500",Mercedes-Benz of South Orlando,4.5,"1,374 reviews",https://www.cars.com/vehicledetail/65467e7c-b47d-40d3-aca5-8efbe1c1b4a2/
2020 Mercedes-Benz S-Class S 560 4MATIC,"37,079 mi.","$77,995",Mercedes-Benz of Arlington,4.8,"2,366 reviews",https://www.cars.com/vehicledetail/290cd53a-8317-47cd-ba21-ceacb4b433af/
2023 Mercedes-Benz EQE 350 Base,"1,576 mi.","$80,750",Mercedes-Benz of Austin,4.8,"1,327 reviews",https://www.cars.com/vehicledetail/c04539d7-8564-4109-aaf4-2123c6979db2/
2019 Mercedes-Benz S-Class S 450 4MATIC,"45,956 mi.","$57,884",Mercedes-Benz of Tysons Corner,4.7,901 reviews,https://www.cars.com/vehicledetail/09592ec4-9e4c-45e0-b08a-ecfb138ef9fc/
2022 Mercedes-Benz EQS 450+ Base,"1,592 mi.","$77,999",Mercedes-Benz of Walnut Creek,4.5,"1,009 reviews",https://www.cars.com/vehicledetail/2cce28b7-c1d5-4d17-ab90-706390189d1c/
2023 Mercedes-Benz E-Class E 350 4MATIC,"3,226 mi.","$60,954",Silver Star Motors,4.5,764 reviews,https://www.cars.com/vehicledetail/cae43edb-33bd-4891-bca3-4b39788634fc/
2022 Mercedes-Benz S-Class S 580 4MATIC,"4,508 mi.","$109,999",Mercedes-Benz of Hoffman Estates,4.6,"1,178 reviews",https://www.cars.com/vehicledetail/43a99ef3-d674-4dcc-b8e7-23af05d326c1/
2022 Mercedes-Benz E-Class E 350 4MATIC,"8,541 mi.","$64,250",Mercedes-Benz of Newton,4.8,250 reviews,https://www.cars.com/vehicledetail/eeeb5c7d-d729-4354-a1cf-72c3c93e485b/
2019 Mercedes-Benz AMG GT Base,"12,948 mi.","$94,000",Crown Eurocars of Dublin,4.9,"2,679 reviews",https://www.cars.com/vehicledetail/e64e9234-2e94-445c-9dce-5ef296bb508e/
2019 Mercedes-Benz AMG C 63 S,"31,165 mi.","$65,849",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/0f407fe4-5597-40eb-b8aa-d3f2c9e433e1/
2020 Mercedes-Benz E-Class E 350 4MATIC,"29,180 mi.","$40,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/7a94bea2-a941-40f4-ba40-b4aed45437c0/
2020 Mercedes-Benz E-Class E 350 4MATIC,"34,166 mi.","$39,849",Mercedes-Benz of Massapequa,4.8,"1,833 reviews",https://www.cars.com/vehicledetail/288fc467-7b37-4029-808a-612aa361feee/
2021 Mercedes-Benz S-Class S 580 4MATIC,"19,020 mi.","$94,999",Mercedes-Benz of Fort Lauderdale,4.5,"1,159 reviews",https://www.cars.com/vehicledetail/2db57d8b-3cc6-431a-8283-2b9d7fdbf9c4/
2020 Mercedes-Benz GLB 250 Base 4MATIC,"28,911 mi.","$33,647",Imperial Hyundai,4.4,354 reviews,https://www.cars.com/vehicledetail/ef2cf06f-a8e9-448d-939f-63d73392f888/
2019 Mercedes-Benz S-Class S 450,"19,175 mi.","$63,852",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/24b2ae7c-fabe-469e-9017-d870e700aa07/
2019 Mercedes-Benz E-Class E 300,"29,614 mi.","$40,994",Mercedes-Benz of Chicago,4.8,"1,313 reviews",https://www.cars.com/vehicledetail/41153d19-2b8a-4495-b972-a1b4e1319b14/
2022 Mercedes-Benz GLE 350 Base,"19,595 mi.","$62,250",Mercedes-Benz of Plano,4.7,"1,818 reviews",https://www.cars.com/vehicledetail/f4ddc9ae-689d-45ee-886c-031fda491ac8/
2019 Mercedes-Benz GLC 300 Base 4MATIC,"17,207 mi.","$34,229",Mercedes-Benz of White Plains,4.3,"1,645 reviews",https://www.cars.com/vehicledetail/f92782c0-0e6e-4672-a8a0-3f7642c90b34/
2019 Mercedes-Benz CLA 250 Base,"14,464 mi.","$32,795",Mercedes-Benz of Pembroke Pines,4.5,"1,474 reviews",https://www.cars.com/vehicledetail/8f1c9a9d-2142-4a0f-a17e-08a7c5360081/
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"28,008 mi.","$61,998",Flagship Motorcars of Lynnfield,4.9,"2,613 reviews",https://www.cars.com/vehicledetail/aac50d26-21b7-4f4b-aee9-0a46c8820f70/
